year,person_category,age_group,point_estimate_pct,lower_95pct_bound,upper_95pct_bound,measure,source_url,boundary
2024,T009002,Totaal personen,3.5,3.1,3.9,uses_e_cigarette_daily_or_non_daily_age_12_plus,"https://opendata.cbs.nl/ODataApi/OData/85457NED/TypedDataSet?$filter=Perioden%20eq%20%272024JJ00%27&$select=Persoonskenmerken,Perioden,Marges,ESigaret12JaarOfOuder_14","prevalence, not sales volume, units, liquid millilitres or consumer expenditure"
2024,80006,Leeftijd: 12 tot 16 jaar,3.4,2.2,5.3,uses_e_cigarette_daily_or_non_daily_age_12_plus,"https://opendata.cbs.nl/ODataApi/OData/85457NED/TypedDataSet?$filter=Perioden%20eq%20%272024JJ00%27&$select=Persoonskenmerken,Perioden,Marges,ESigaret12JaarOfOuder_14","prevalence, not sales volume, units, liquid millilitres or consumer expenditure"
2024,53080,Leeftijd: 16 tot 20 jaar,13.2,10.2,16.8,uses_e_cigarette_daily_or_non_daily_age_12_plus,"https://opendata.cbs.nl/ODataApi/OData/85457NED/TypedDataSet?$filter=Perioden%20eq%20%272024JJ00%27&$select=Persoonskenmerken,Perioden,Marges,ESigaret12JaarOfOuder_14","prevalence, not sales volume, units, liquid millilitres or consumer expenditure"
2024,60300,Leeftijd: 20 tot 30 jaar,6.9,5.4,8.6,uses_e_cigarette_daily_or_non_daily_age_12_plus,"https://opendata.cbs.nl/ODataApi/OData/85457NED/TypedDataSet?$filter=Perioden%20eq%20%272024JJ00%27&$select=Persoonskenmerken,Perioden,Marges,ESigaret12JaarOfOuder_14","prevalence, not sales volume, units, liquid millilitres or consumer expenditure"
2024,60400,Leeftijd: 30 tot 40 jaar,4.4,3.3,5.8,uses_e_cigarette_daily_or_non_daily_age_12_plus,"https://opendata.cbs.nl/ODataApi/OData/85457NED/TypedDataSet?$filter=Perioden%20eq%20%272024JJ00%27&$select=Persoonskenmerken,Perioden,Marges,ESigaret12JaarOfOuder_14","prevalence, not sales volume, units, liquid millilitres or consumer expenditure"
2024,60500,Leeftijd: 40 tot 50 jaar,2.4,1.6,3.6,uses_e_cigarette_daily_or_non_daily_age_12_plus,"https://opendata.cbs.nl/ODataApi/OData/85457NED/TypedDataSet?$filter=Perioden%20eq%20%272024JJ00%27&$select=Persoonskenmerken,Perioden,Marges,ESigaret12JaarOfOuder_14","prevalence, not sales volume, units, liquid millilitres or consumer expenditure"
2024,71100,Leeftijd: 50 tot 55 jaar,3.8,2.4,5.8,uses_e_cigarette_daily_or_non_daily_age_12_plus,"https://opendata.cbs.nl/ODataApi/OData/85457NED/TypedDataSet?$filter=Perioden%20eq%20%272024JJ00%27&$select=Persoonskenmerken,Perioden,Marges,ESigaret12JaarOfOuder_14","prevalence, not sales volume, units, liquid millilitres or consumer expenditure"
2024,53900,Leeftijd: 55 tot 65 jaar,1.3,0.8,2.0,uses_e_cigarette_daily_or_non_daily_age_12_plus,"https://opendata.cbs.nl/ODataApi/OData/85457NED/TypedDataSet?$filter=Perioden%20eq%20%272024JJ00%27&$select=Persoonskenmerken,Perioden,Marges,ESigaret12JaarOfOuder_14","prevalence, not sales volume, units, liquid millilitres or consumer expenditure"
2024,53925,Leeftijd: 65 tot 75 jaar,0.6,0.3,1.3,uses_e_cigarette_daily_or_non_daily_age_12_plus,"https://opendata.cbs.nl/ODataApi/OData/85457NED/TypedDataSet?$filter=Perioden%20eq%20%272024JJ00%27&$select=Persoonskenmerken,Perioden,Marges,ESigaret12JaarOfOuder_14","prevalence, not sales volume, units, liquid millilitres or consumer expenditure"
2024,21600,Leeftijd: 75 jaar of ouder,0.3,0.1,1.0,uses_e_cigarette_daily_or_non_daily_age_12_plus,"https://opendata.cbs.nl/ODataApi/OData/85457NED/TypedDataSet?$filter=Perioden%20eq%20%272024JJ00%27&$select=Persoonskenmerken,Perioden,Marges,ESigaret12JaarOfOuder_14","prevalence, not sales volume, units, liquid millilitres or consumer expenditure"
