audit_item,observed_value,audit_result,bank_use,source_page,source_url
commissioning_and_authority,"Commissioned by Netherlands Ministry of Health, Welfare and Sport; Bureau Beke authors responsible",confirmed_commissioned_secondary_evidence,"strong provenance for a government-commissioned estimate, but not an official statistical-series certification",colophon; 15-16,https://www.tweedekamer.nl/downloads/document?id=2026D17119
population_survey_total,5529 weighted respondents; target population 16458145 persons aged 10+,confirmed,documents the overall survey base,191-192,https://www.tweedekamer.nl/downloads/document?id=2026D17119
vaper_screen_hit_rate,443 raw vapers / 5529 total = 8.012299%; weighted vaper count 501 / 5529 = 9.061313%,recalculated,"use raw n=443 for respondent-count precision; weighted n=501 is an analysis weight, not 501 distinct people",193,https://www.tweedekamer.nl/downloads/document?id=2026D17119
survey_response_rate,not reproducible from report; it states a 3000-response first phase and 6000 additional invitations but no complete invitation/disposition table,missing_denominator,do not report a survey response hit rate,192-193,https://www.tweedekamer.nl/downloads/document?id=2026D17119
weighting,"Ipsos weight 0.58-1.58 for age, sex and education; under-16 respondents assigned weight 1",confirmed_with_youth_limitation,adult representativeness adjusted; under-16 subgroup is not equivalently weighted,190-191,https://www.tweedekamer.nl/downloads/document?id=2026D17119
prevalence_overrepresentation_correction,"Ipsos 9.1% versus CBS 3.5%; ratio 2.6x; uncorrected EUR 576,515,645 rejected as too high",confirmed_and_quantified,supports using the corrected EUR 281.548m estimate instead of the raw Ipsos extrapolation,193-195,https://www.tweedekamer.nl/downloads/document?id=2026D17119
cbs_prevalence_source_reproduction,"CBS 2024 point estimates independently reproduced: total 3.5%; ages 16-20 13.2%, 20-30 6.9%, 30-40 4.4%, 40-50 2.4%, 50-55 3.8%, 55-65 1.3%, 65-75 0.6%, 75+ 0.3%",exact_match_to_report,supports the adult prevalence inputs and preserves their 95% confidence bounds,report 193-195; CBS table 85457NED,"https://opendata.cbs.nl/ODataApi/OData/85457NED/TypedDataSet?$filter=Perioden%20eq%20%272024JJ00%27&$select=Persoonskenmerken,Perioden,Marges,ESigaret12JaarOfOuder_14"
age_prevalence_source_mix,10-12 Ipsos 1.6%; 12-16 ScholierenMonitor 22.8%; 16+ CBS Health Survey age rates,confirmed_definition_mismatch,"main estimate is a model combining sources, not one homogeneous probability sample",193-195,https://www.tweedekamer.nl/downloads/document?id=2026D17119
scholierenmonitor_point_estimate_check,Report uses 22.8% for ages 12-16; cited Trimbos table reports point estimate 24.6% with 95% CI 22.8-26.4%,report_input_matches_lower_confidence_bound_not_point_estimate,ask whether the lower bound was an intentional conservative choice or a transcription error; exact EUR impact cannot be computed from published cells,report 65 and 193-195; Trimbos table 2023,https://cijfers.trimbos.nl/scholierenmonitor/vape-snus-en-waterpijp/cijfers-2023-12-16-jaar-vape-snus-waterpijp/
prevalence_definition_consistency,ScholierenMonitor value is described as ever-vaped while monthly expenditure is applied to paying respondents; CBS/Ipsos wording differs,material_model_risk,do not present EUR 281.548m as a point fact without a sensitivity range,193-195; 64-65,https://www.tweedekamer.nl/downloads/document?id=2026D17119
exact_reproducibility,"Age-specific respondent counts, mean monthly spend cells, illegal shares, design effects and SPSS syntax are not published with the report",not_fully_reproducible,retain as commissioned estimate and request aggregate calculation table/syntax before upgrading confidence,64-65; 193-195,https://www.tweedekamer.nl/downloads/document?id=2026D17119
statistical_testing,"SPSS, chi-square p<0.05, expected-cell rules and Bonferroni follow-up are described",confirmed_for_group_comparisons,does not provide a confidence interval for the EUR market estimate,195,https://www.tweedekamer.nl/downloads/document?id=2026D17119
triangulation,122 social-media advertisements; 45 professionals/27 interviews; 38 social workers; 20 young people; each research question uses at least two activities,confirmed_qualitative_triangulation,strengthens mechanism/channel evidence but is not a probability-based market-volume validation,15-16; 188-199,https://www.tweedekamer.nl/downloads/document?id=2026D17119
social_worker_questionnaire_hit_rate,38 responses from a WhatsApp group of approximately 400 = approximately 9.5%,approximate_convenience_response_rate,not representative; denominator itself is approximate,197,https://www.tweedekamer.nl/downloads/document?id=2026D17119
youth_interview_internal_consistency,Main method section says 20 youth including 4 dealers aged 16-28; appendix says 20 including 2 dealers and ages up to 29,internal_inconsistency_requires_clarification,"does not change the consumer estimate directly, but lowers confidence in qualitative sample metadata",16; 198,https://www.tweedekamer.nl/downloads/document?id=2026D17119
illegal_market_classification,87% of weighted vapers met at least one product/channel indicator; 9% were foreign-purchase middle-category cases,confirmed_with_legal_boundary,user incidence is not illegal unit share or illegal revenue share; foreign physical purchases are legally ambiguous in the report,66-72,https://www.tweedekamer.nl/downloads/document?id=2026D17119
