YearMonth/AnnéeMois,HS8,Country/Pays,Province,State/État,Value/Valeur,Quantity/Quantité,Unit of Measure/Unité de Mesure
202501,24041200,CO,ON,,25000,1106,KGM
202501,24041200,MA,ON,,13000,575,KGM
202501,24041900,AT,QC,,8807,386,KGM
202501,24041900,DK,QC,,11393,499,KGM
202501,24041900,ES,QC,,23626,1035,KGM
202502,24041200,CO,ON,,24000,1062,KGM
202502,24041200,MA,ON,,149000,6593,KGM
202502,24041900,AT,QC,,7723,344,KGM
202502,24041900,ES,QC,,25435,1132,KGM
202502,24041900,FR,QC,,112812,5023,KGM
202502,85434000,TC,ON,,107,0,N/A
202503,24041200,CO,ON,,19500,863,KGM
202503,24041200,MA,ON,,167014,7390,KGM
202503,24041900,DE,QC,,27177,1198,KGM
202503,24041900,DK,QC,,10145,447,KGM
202503,24041900,ES,QC,,2412,268,KGM
202503,85434000,ES,BC,,15012,0,N/A
202504,24041200,MA,ON,,133000,5885,KGM
202504,24041900,AT,QC,,5539,251,KGM
202504,24041900,FR,QC,,145114,6565,KGM
202505,24041200,CL,QC,,33507,1496,KGM
202505,24041200,CO,ON,,22000,973,KGM
202505,24041200,DO,ON,,100689,4349,KGM
202505,24041200,MA,ON,,109500,4845,KGM
202506,24041900,AT,QC,,7384,331,KGM
202506,24041900,FR,QC,,104249,4702,KGM
202507,24041200,MA,ON,,2671,119,KGM
202507,24041200,PE,ON,,11753,517,KGM
202507,85434000,GY,ON,,4500,0,N/A
202508,24041900,FR,QC,,70641,3097,KGM
202508,85434000,AO,AB,,6783,0,N/A
202508,85434000,DE,ON,,12501,0,N/A
202508,85434000,GB,ON,,7369,0,N/A
202508,85434000,US,ON,NY,381404,0,N/A
202509,24041900,FR,QC,,133499,5894,KGM
202509,85434000,AU,BC,,22409,0,N/A
202510,24041200,MA,ON,,6330,236,KGM
202510,24041900,FR,QC,,74128,3243,KGM
202511,24041900,FR,QC,,72839,3209,KGM
202511,85434000,SA,QC,,3014,0,N/A
202512,24041200,CO,ON,,12000,531,KGM
202512,85434000,SA,QC,,2960,0,N/A
