id,market,status,source,url,why_not_verified
US-CDC-IRI-2020-2022,USA,historical_proxy,"CDC / Truth Initiative / CDC Foundation MMWR",https://www.cdc.gov/mmwr/volumes/72/wr/mm7225a1.htm,"Licensed scanner data excludes online and vape-specialty channels"
US-FTC-2019-2020,USA,historical_partial,"Federal Trade Commission E-Cigarette Report",https://www.ftc.gov/system/files/ftc_gov/pdf/E-Cigarette%20Report%202019-20%20final.pdf,"Historical manufacturer scope is incomplete"
US-FDA-STPD,USA,official_not_sales,"FDA Searchable Tobacco Products Database",https://www.fda.gov/tobacco-products,"Authorization register is not sales or market share"
US-FDA-RETAIL-INSPECTIONS,USA,official_not_sales,"FDA retail inspection and warning-letter databases",https://www.fda.gov/tobacco-products/compliance-enforcement-training/retail-sales-tobacco-products,"Risk-based enforcement counts are not illegal-market share"
EU-EUCEG-ART20-7,EU-27,official_route_no_public_aggregate,"EU-CEG Article 20(7)",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32014L0040,"Reporting route exists but no complete open EU sell-out table"
EU-TEDB,EU-27,official_not_sales,"European Commission TEDB",https://taxation-customs.ec.europa.eu/online-services/online-services-and-databases-taxation_en,"Tax rules are not receipts or volume"
EU-COMEXT-API,EU-27,official_proxy,"Eurostat Comext REST API",https://ec.europa.eu/eurostat/web/user-guides/data-browser/api-data-access/api-introduction,"Border trade is not domestic production or retail sell-through"
CHINA-TAX-2022-33,China,official_not_sales,"State Tax Administration announcement 2022 No.33",https://fgk.chinatax.gov.cn/zcfgk/c102416/c5201994/content.html,"Tax framework has no national sales series"
CHINA-GACC-HS4,China,official_aggregate_only,"China Customs monthly statistics / HS4 2404",https://english.customs.gov.cn/Statics/730a6583-f241-4f04-a10b-af9c6ff8a164.html,"Public index is not detailed product value or quantity"
JAPAN-CLASS-240412,Japan,official_not_sales,"Japan Customs classification ruling",https://www.customs.go.jp/tetsuzuki_search/bunrui/J4/24/J42400321.htm,"Classification ruling does not establish national sales"
JAPAN-SEIZURE-2024,Japan,official_broad_category,"Japan Customs seizure statistics",https://www.customs.go.jp/mizugiwa/chiteki/pages/statistics2024.pdf,"Tobacco/smoking-implement category is broader than vapes"
KOREA-KCS-PORTAL,South Korea,official_access_pending,"Korea Customs portal / Public Data API",https://www.data.go.kr/en/data/15101612/openapi.do,"API access and HSK revision still need a reproducible extract"
AU-ABS-TRADE,Australia,official_route_pending,"Australian Bureau of Statistics merchandise trade",https://www.abs.gov.au/statistics/economy/international-trade/international-trade-goods/latest-release,"Confidentiality and concordance may suppress vape rows"
SG-CUSTOMS-PROHIBITED,Singapore,official_no_legal_sales,"Singapore Customs controlled goods",https://www.customs.gov.sg/doing-business/import-operations/import-procedures/controlled-and-prohibited-goods-for-imports/,"Prohibition page is not a market-size statistic"
NZ-TARIFF-2404,New Zealand,official_not_sales,"New Zealand Customs Working Tariff",https://www.customs.govt.nz/media/mdtlz5fd/section-iv.pdf,"Tariff schedule is not realized trade or sales"
WHO-MPOWER-TAX,Global,official_survey_proxy,"WHO GHO/MPOWER health taxes",https://www.who.int/tools/health-taxes-database,"Country tax/price indicators are not transactions"
COMMERCIAL-MARKET-ESTIMATES,Global,unverified_commercial,"Euromonitor / Statista / ECigIntelligence / GlobalData",https://www.euromonitor.com/,"Paywalls and opaque methodology prevent bank-grade verification"
SHIPMENT-COMMERCIAL,Global,unverified_commercial,"ImportGenius / Panjiva",https://www.panjiva.com/,"Bill-of-lading coverage is incomplete and may be misclassified"
PATENT-WIPO-PATENTSCOPE,Global patent family,official_legal_not_market,"WIPO PATENTSCOPE",https://patentscope.wipo.int/,"Patent records do not prove enforceability or market size"
PATENT-EPO-ESPACENET,Europe,official_legal_not_market,"EPO Espacenet / Register",https://worldwide.espacenet.com/,"National validation and renewal checks are still required"
